tick,day,S,E,I_asymp,I_symp,R,D,belief_mean,belief_max,n_panic,official_signal,authority_perceived,n_power_fail,n_water_fail,total_outflow,expected_incidents,n_events
82,20.5,319330.1337045529,250.4312562209604,106.14296199409867,127.97549348291842,182.61278672121983,2.703797027838848,0.0684680013271915,0.9997232076760157,1,0.0,0.00022432638260508746,1,1,63.10154388431303,0.0,0
83,20.75,319311.2308743748,256.81252358804585,109.18747462710215,131.36566229380017,188.6082570216091,2.7952080946123607,0.07004797003996224,0.9997854859489123,1,0.0,0.00023100023634787208,1,1,61.52333740701563,0.0,0
84,21.0,319292.2008861747,263.0018856087299,112.27921914337034,134.86309209462567,194.76587626799358,2.889040710536504,0.0716469186340429,0.999833751610407,1,0.0,0.00023771421452981433,1,1,59.98459877217893,0.0,0
85,21.25,319273.0911386837,268.961538819253,115.40438314314876,138.46749452699896,201.09007333621076,2.9853714906040936,0.07326548295300321,0.9998711574980654,5,0.0,0.00024447032615304543,1,1,58.48434122991568,0.0,0
86,21.5,319253.94772933127,274.6568712307918,118.54849730347313,142.17755560105658,207.58506968955788,3.0842768438376647,0.07490412975266209,0.9999001470610007,5,0.0,0.00025127390847848655,1,1,57.101750916299785,0.0,0
87,21.75,319234.8143270976,280.05742990291014,121.69665360577403,145.99092305592217,214.25483409707303,3.1858322406955626,0.07656329975947786,0.9999226139722756,5,0.0,0.0002581330908418452,1,1,57.46000261994294,0.0,0
88,22.0,319215.730133945,285.1387515603707,124.8337524575469,149.9042105386437,221.10304002696998,3.290111471449792,0.07824349391858001,0.9999400258285136,5,0.0,0.0002650583300603551,1,1,60.11047039259263,0.0,0
89,22.25,319196.72782474593,289.8841231813818,127.9448192804273,153.9130201680082,228.1330267166446,3.397185907548823,0.07994530506196343,0.999953520017098,5,0.0,0.0002720620094488769,1,1,64.91843989254919,0.0,0
90,22.5,319177.8317094026,294.28603236565436,131.01538086088684,158.01198803661134,235.34776555510243,3.507123779097401,0.08166944206200134,0.999963978013251,5,0.0,0.00027915809424949514,1,1,71.72309637022505,0.0,0
91,22.75,319159.05605183577,298.3473883142439,134.03188061659034,162.19485631415606,242.74983343439658,3.619989484837838,0.0834167457902509,0.9999720829602695,5,0.0,0.0002863618369968933,1,1,80.33613523341135,0.0,0
92,23.0,319140.40365022945,302.08242050481454,136.9821178343927,166.45457392060902,250.34139455705755,3.7358429536336635,0.08518819618242285,0.9999783642942088,5,0.0,0.0002936895269972943,1,1,90.5430487011847,0.0,0
93,23.25,319121.86477352865,305.51717618039663,139.8556926244198,170.78342654673816,258.1241920419131,3.85473907786267,0.09207527830501389,0.9999832323280119,5,0.0,0.00030115827869618494,5,5,331.84870722962444,0.0,0
94,23.5,319106.03128388117,306.0748070188563,142.644436020545,175.17319540261474,266.099550437112,3.976727239681768,0.09836973449826841,0.9999870050542092,5,0.0,0.000308785854253695,5,5,452.1763863066142,0.0,0
95,23.75,319089.59254869993,307.2098018491159,145.21206601251058,179.6153425540622,274.26838993363987,4.1018509506836365,0.10413743946045056,0.9999899289170121,5,0.0,0.00031659051614046045,5,5,540.8935193018576,0.0,0
96,24.0,319072.336616804,309.10524365263143,147.6071930681351,184.09141384235545,282.6293850089251,4.230147623936538,0.10945462728834346,0.9999921949106844,5,0.0,0.00032459090601493396,5,5,579.3789377663891,0.0,0
97,24.25,319054.21964516945,311.7669531045449,149.8832415839689,188.58725997095286,291.1812586800952,4.361641490966791,0.11438169077984828,0.9999939510557804,5,0.0,0.00033280594654903515,5,5,579.0932966708708,0.0,0
98,24.5,319035.22529915394,315.17295146481194,152.08915695491322,193.09324380507368,299.9230019445638,4.49634667666033,0.11897059139839491,0.9999953120682298,5,0.0,0.0003412547489410264,5,5,565.6920903546751,0.0,0
99,24.75,319015.34592070663,319.2936823389268,154.26841551432227,197.6037432979395,308.8539677199544,4.634270422235382,0.12326862285727823,0.9999963668528781,5,0.0,0.00034995617528200794,5,5,552.5989250536272,0.0,0
100,25.0,318994.5722167522,324.10270217637293,156.459133960347,202.1165979151587,317.9739332427297,4.775415953162481,0.12731801126347744,0.9999971843109805,5,0.0,0.00035892829997188354,5,5,539.8067790397724,0.0,0
101,25.25,318972.9073304505,329.5624533692785,158.69470353699182,206.63258303664335,327.28314465490814,4.91978495167331,0.1311559544001236,0.9999978178410099,5,0.0,0.000368187941818321,5,5,527.3087887693405,0.0,0
102,25.5,318950.426347294,335.5653138572844,161.00365624679577,211.15495069346616,336.7823522545762,5.067379653842339,0.13481491161408574,0.9999983088267828,5,0.0,0.00037775025721235547,5,5,515.0982454314021,0.0,0
103,25.75,318927.2106788007,342.00271665768435,163.40659548905325,215.6889766729235,346.4728277609446,5.218204618623388,0.1383230201545643,0.9999986893407566,5,0.0,0.00038762838677662705,5,5,503.1685915460299,0.0,0
104,26.0,318903.3353164448,348.77794318074336,165.91685672470055,220.2412935962838,356.3563218800548,5.372268173389761,0.14170454939764512,0.9999989842390864,5,0.0,0.000397833149825922,5,5,491.5134176217241,0.0,0
105,26.25,318878.8681616533,355.8062008131976,168.54174881903234,224.81929736505478,366.4350079662776,5.529583383101392,0.14498035056356895,0.9999992127852919,5,0.0,0.0004083727828461165,5,5,480.1264588769085,0.0,0
